family,order,sampleId,jacardDist
Clostridiaceae,Clostridiales,ERR260246,0.105781368
Lachnospiraceae,Clostridiales,ERR260246,0.075662043
Ruminococcaceae,Clostridiales,ERR260246,0.153710247
Lactobacillaceae,Lactobacillales,ERR260246,0.050366032
Streptococcaceae,Lactobacillales,ERR260246,0.140890451
Actinomycetaceae,Actinomycetales,ERR260250,0.043979058
Micrococcaceae,Actinomycetales,ERR260250,0.418499127
Bacteroidaceae,Bacteroidales,ERR260250,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260250,0.116689655
Rikenellaceae,Bacteroidales,ERR260250,0.269793103
Clostridiaceae,Clostridiales,ERR260250,0.116928447
Lachnospiraceae,Clostridiales,ERR260250,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260250,0.366127024
Ruminococcaceae,Clostridiales,ERR260250,0.164257228
Lactobacillaceae,Lactobacillales,ERR260250,0.058362369
Leuconostocaceae,Lactobacillales,ERR260250,0.410107464
Streptococcaceae,Lactobacillales,ERR260250,0.148126634
Actinomycetaceae,Actinomycetales,ERR260251,0.043979058
Micrococcaceae,Actinomycetales,ERR260251,0.418499127
Bacteroidaceae,Bacteroidales,ERR260251,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260251,0.116689655
Rikenellaceae,Bacteroidales,ERR260251,0.269793103
Clostridiaceae,Clostridiales,ERR260251,0.116928447
Lachnospiraceae,Clostridiales,ERR260251,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260251,0.366127024
Ruminococcaceae,Clostridiales,ERR260251,0.164257228
Lactobacillaceae,Lactobacillales,ERR260251,0.058362369
Leuconostocaceae,Lactobacillales,ERR260251,0.410107464
Streptococcaceae,Lactobacillales,ERR260251,0.148126634
Bacteroidaceae,Bacteroidales,ERR260252,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260252,0.135062129
Prevotellaceae,Bacteroidales,ERR260252,0.212317666
Rikenellaceae,Bacteroidales,ERR260252,0.284981091
Clostridiaceae,Clostridiales,ERR260252,0.116928447
Lachnospiraceae,Clostridiales,ERR260252,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260252,0.366127024
Ruminococcaceae,Clostridiales,ERR260252,0.164257228
Enterococcaceae,Lactobacillales,ERR260252,0.263339071
Lactobacillaceae,Lactobacillales,ERR260252,0.06997419
Streptococcaceae,Lactobacillales,ERR260252,0.158634538
Bacteroidaceae,Bacteroidales,ERR260258,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260258,0.116689655
Rikenellaceae,Bacteroidales,ERR260258,0.269793103
Clostridiaceae,Clostridiales,ERR260258,0.116928447
Lachnospiraceae,Clostridiales,ERR260258,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260258,0.366127024
Ruminococcaceae,Clostridiales,ERR260258,0.164257228
Enterococcaceae,Lactobacillales,ERR260258,0.263339071
Lactobacillaceae,Lactobacillales,ERR260258,0.06997419
Streptococcaceae,Lactobacillales,ERR260258,0.158634538
Bacteroidaceae,Bacteroidales,ERR260261,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260261,0.116689655
Rikenellaceae,Bacteroidales,ERR260261,0.269793103
Clostridiaceae,Clostridiales,ERR260261,0.116928447
Lachnospiraceae,Clostridiales,ERR260261,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260261,0.366127024
Ruminococcaceae,Clostridiales,ERR260261,0.164257228
Lactobacillaceae,Lactobacillales,ERR260261,0.050366032
Streptococcaceae,Lactobacillales,ERR260261,0.140890451
Bacteroidaceae,Bacteroidales,ERR260270,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260270,0.116689655
Rikenellaceae,Bacteroidales,ERR260270,0.269793103
Clostridiaceae,Clostridiales,ERR260270,0.105781368
Lachnospiraceae,Clostridiales,ERR260270,0.075662043
Ruminococcaceae,Clostridiales,ERR260270,0.153710247
Lactobacillaceae,Lactobacillales,ERR260270,0.050366032
Streptococcaceae,Lactobacillales,ERR260270,0.140890451
Bacteroidaceae,Bacteroidales,ERR260275,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260275,0.116689655
Rikenellaceae,Bacteroidales,ERR260275,0.269793103
Clostridiaceae,Clostridiales,ERR260275,0.105781368
